Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
CHI,0,3.4,7.818,4.2,3.0,0.0,0.0,16,0.214,0.5,0.0,0.086
ARZ,3,6.1,10.538,6.9,6.265,0.667,1.0,18,0.385,0.0,0.035,0.053
JAC,2,4.2,9.688,5.0,3.333,0.667,1.0,14,0.3,0.5,0.059,0.039
PHI,4,6.1,11.667,8.8,5.152,0.75,0.0,21,0.529,0.0,0.014,0.041
DET,2,4.7,7.611,6.2,3.875,0.5,0.5,17,0.333,1.0,0.0,0.018
GB,1,6.6,11.87,7.0,6.0,0.25,0.0,20,0.25,0.667,0.016,0.0
LA,2,5.4,11.92,6.8,2.833,0.333,0.5,22,0.231,0.0,0.015,0.0
SEA,3,5.7,15.095,9.3,3.242,0.25,0.0,20,0.267,0.667,0.041,0.095
IND,0,4.6,9.938,5.9,3.579,0.0,0.0,13,0.273,0.5,0.041,0.061
MIN,3,5.8,9.724,8.1,4.156,0.6,1.0,29,0.5,1.0,0.042,0.056
TB,3,5.5,8.217,6.1,5.0,1.0,1.0,17,0.455,0.0,0.0,0.038
KC,4,4.6,7.647,5.9,3.543,1.0,1.0,28,0.667,1.0,0.012,0.048
CIN,5,6.3,12.382,7.5,3.062,1.0,1.0,27,0.5,0.5,0.013,0.04
BAL,5,6.7,11.6,8.8,3.96,1.0,1.0,20,0.583,0.0,0.0,0.0
NYG,2,4.7,7.955,4.7,4.912,0.333,1.0,24,0.467,0.0,0.041,0.027
CAR,2,5.3,7.867,4.7,5.875,0.667,1.0,15,0.4,0.0,0.017,0.017
NE,1,5.4,12.267,7.4,4.114,0.2,1.0,16,0.357,1.0,0.016,0.016
CHI,0,2.4,4.312,2.3,3.65,0.0,0.0,11,0.071,0.5,0.0,0.153
BUF,2,5.9,12.727,7.6,4.355,0.5,0.5,21,0.5,0.667,0.029,0.029
